item_id,item_name,store_id,store_name,original_price,price,category,stock_0930,stock_1630,stock_2030,change_2_1,change_3_2,change_3_1
698b6a56988f28c4ca986bdc,Veggie Box #5,5f766efd06e2381086a9acbf,Unknown,5.0,5.0,Produce,,1,,,,
698b6ada988f28c4ca98a50a,Mixed Produce Box #6,5f766efd06e2381086a9acbf,Unknown,5.0,5.0,Produce,,1,,,,
698b6b5ab6083324ab7cded0,Fruit Box #7,5f766efd06e2381086a9acbf,Unknown,5.0,5.0,Produce,,1,,,,
698b6bd289dc00ce48fa6ba9,Veggie Box #8,5f766efd06e2381086a9acbf,Unknown,5.0,5.0,Produce,,1,,,,
698b6c9489dc00ce48fabe04,Mixed Produce Box #60,5f766f081673e04ebe6374db,Unknown,5.0,5.0,Produce,,1,,,,
698b6cb3fb240c9437998911,Mixed Produce Box #9,5f766efd06e2381086a9acbf,Unknown,5.0,5.0,Produce,,1,,,,
698b6cb5e5de2b13bbb78415,Mixed Produce Box #64,5f766f081673e04ebe6374db,Unknown,5.0,5.0,Produce,,1,,,,
698b6cd4b6083324ab7d85f5,Mixed Produce Box #65,5f766f081673e04ebe6374db,Unknown,5.0,5.0,Produce,,1,,,,
698b6cfb988f28c4ca997fe3,Mixed Produce Box #63,5f766f081673e04ebe6374db,Unknown,5.0,5.0,Produce,,1,,,,
698b6d2e89dc00ce48fae99e,Mixed Produce Box #62,5f766f081673e04ebe6374db,Unknown,2.19,2.19,Produce,,1,,,,
698b6d4c988f28c4ca99a21b,Mixed Produce Box #66,5f766f081673e04ebe6374db,Unknown,1.99,1.99,Produce,,1,,,,
698b6d63b6083324ab7dc7e7,Fruit Box #10,5f766efd06e2381086a9acbf,Unknown,5.0,5.0,Produce,,1,,,,
698b6d72988f28c4ca99a9e4,Mixed Produce Box #61,5f766f081673e04ebe6374db,Unknown,5.0,5.0,Produce,,1,,,,
698b6db7ff05ab02e9425957,Organic Fruit Box 67,5f766f081673e04ebe6374db,Unknown,10.0,5.0,Produce,,1,,,,
698b6e07e9be5bffd2e1f6fc,Organic Fruit Box 68,5f766f081673e04ebe6374db,Unknown,10.0,5.0,Produce,,1,,,,
698b6e1bff05ab02e9427fcb,Veggie Box #11,5f766efd06e2381086a9acbf,Unknown,5.0,5.0,Produce,,1,,,,
698b6eefff05ab02e942c750,EGGLANDS BEST CAGE FREE LARGE EGG 11ct,5f766f081673e04ebe6374e3,Unknown,5.79,2.89,Dairy,,2,,,,
698b6f293b056c06ded91fee,Veggie Box #2131,5f766f081673e04ebe6374d0,Unknown,5.0,5.0,Produce,,1,,,,
698b6f3f3b056c06ded92443,Veggie Box #2132,5f766f081673e04ebe6374d0,Unknown,5.0,5.0,Produce,,1,,,,
698b6f619476de557469761a,Veggie Box #2133,5f766f081673e04ebe6374d0,Unknown,5.0,5.0,Produce,,1,,,,
698b7033c4a187cb6c05f9e3,Fruit Box #2134,5f766f081673e04ebe6374d0,Unknown,5.0,5.0,Produce,,1,,,,
698b705f9476de557469d678,Fruit Box #2135,5f766f081673e04ebe6374d0,Unknown,5.0,5.0,Produce,,1,,,,
698b706a9476de557469da51,Mixed Produce Box #27,5f766f081673e04ebe6374d2,Unknown,3.0,3.0,Produce,,1,,,,
698b70a33b056c06ded99713,MEIJER CAGE FREE GRADE A LARGE EGG 17CT,5f766f081673e04ebe6374e3,Unknown,2.89,1.45,Dairy,,3,,,,
698b70ef9476de55746a0957,MEIJER CAGE FREE GRADE A LARGE EGG 11ct,5f766f081673e04ebe6374e3,Unknown,1.99,1.0,Dairy,,1,,,,
698b70f0c4a187cb6c0649aa,Veggie Box #13,5f766efd06e2381086a9acbf,Unknown,5.0,5.0,Produce,,1,,,,
698b71543b056c06ded9cf9a,MEIJER CAGE FREE GRADE A LARGE EGG 11ct,5f766f081673e04ebe6374e3,Unknown,1.99,1.0,Dairy,,6,,,,
698b718be9be5bffd2e32153,Mixed Produce Box #12,5f766efd06e2381086a9acbf,Unknown,5.0,5.0,Produce,,1,,,,
698b72d8c4a187cb6c071257,MEIJER CAGE FREE GRADE A XTRA LARGE EGG 11ct,5f766f081673e04ebe6374e3,Unknown,2.19,1.1,Dairy,,2,,,,
698b737dff05ab02e944710c,CACIQUE CHEESE SHREDDED QUESO QUESADILLA 7 OZ,5f766f081673e04ebe6374e3,Unknown,4.79,2.39,Dairy,,2,,,,
698b742eff05ab02e944a58c,Mixed Produce Box #300,5f766f081673e04ebe6374df,Unknown,5.0,5.0,Produce,,1,,,,
698b743cff05ab02e944aad9,Mixed Produce Box #301,5f766f081673e04ebe6374df,Unknown,5.0,5.0,Produce,,1,,,,
698b744aff05ab02e944b28f,Mixed Produce Box #302,5f766f081673e04ebe6374df,Unknown,5.0,5.0,Produce,,1,,,,
698b7498ff05ab02e944ca31,Mixed Produce Box #17,5f766f081673e04ebe6374d9,Unknown,5.0,5.0,Produce,,1,,,,
698b74d39476de55746b6f83,Mixed Produce Box #18,5f766f081673e04ebe6374d9,Unknown,5.0,5.0,Produce,,1,,,,
698b74deff05ab02e944e63e,Mixed Produce Box #19,5f766f081673e04ebe6374d9,Unknown,5.0,5.0,Produce,,1,,,,
698b756ee9be5bffd2e492b8,Mixed Produce Box #303,5f766f081673e04ebe6374df,Unknown,5.0,5.0,Produce,,1,,,,
698b757f3b056c06dedb06ce,Mixed Produce Box #304,5f766f081673e04ebe6374df,Unknown,5.0,5.0,Produce,,1,,,,
698b7590c4a187cb6c081e39,Mixed Produce Box #305,5f766f081673e04ebe6374df,Unknown,5.0,5.0,Produce,,1,,,,
698b7882ff05ab02e9466a00,FFM FP SPLT CHCKN BRST ALL NTL RW1281,5f766f081673e04ebe6374d3,Unknown,17.72,8.86,Meat,,1,,,,
698b788bff05ab02e9466dec,FFM FP SPLT CHCKN BRST ALL NTL RW1281,5f766f081673e04ebe6374d3,Unknown,16.86,8.43,Meat,,1,,,,
698b789dc4a187cb6c097b3f,FFM 80/20 GROUND BEEF PATTY 8CT,5f766f081673e04ebe6374d3,Unknown,12.0,6.0,Meat,,1,,,,
698b78abe9be5bffd2e5a5b6,FFM FP BNLS TENDERLOIN ALL NTRL RW6511,5f766f081673e04ebe6374d3,Unknown,10.96,5.48,Meat,,1,,,,
698b78bbe9be5bffd2e5b00e,FFM FP BNLS TENDERLOIN ALL NTRL RW6511,5f766f081673e04ebe6374d3,Unknown,12.53,6.26,Meat,,1,,,,
