item_id,item_name,store_id,store_name,original_price,price,category,stock_0930,stock_1630,stock_2030,change_2_1,change_3_2,change_3_1
69666bba29864c81d5f23ed5,chicken flavour dog treats,63cef866290ecaebc6d392ff,Unknown,3.99,2.0, Dog Supplies,,16,,,,
69666c4f713f3fcc8d6e2923,Bosco and Roxy nuzzle nose rude cookies,63cef866290ecaebc6d392ff,Unknown,4.49,2.24, Dog Supplies,,14,,,,
69667257713f3fcc8d70cbde,elfie treat cookies,63cef866290ecaebc6d392ff,Unknown,2.79,1.39, Dog Supplies,,57,,,,
69667934b2db10be992f842a,Bosco Roxy squash cookie,63cef866290ecaebc6d392ff,Unknown,2.79,1.39, Dog Supplies,,19,,,,
6966798a713f3fcc8d73be7f,sweater weather sips cookies,63cef866290ecaebc6d392ff,Unknown,2.79,1.39, Dog Supplies,,18,,,,
69667aa2b44c84a2142fd509,anniversary large heart,63cef866290ecaebc6d392ff,Unknown,7.99,3.99, Dog Supplies,,8,,,,
69667af3b2db10be993040e5,anniversary 50th heart,63cef866290ecaebc6d392ff,Unknown,4.49,2.24, Dog Supplies,,9,,,,
69667b4b713f3fcc8d7459db,anniversary 50th eh,63cef866290ecaebc6d392ff,Unknown,4.49,2.24, Dog Supplies,,20,,,,
69667ba8b44c84a21430395a,friendly fir,63cef866290ecaebc6d392ff,Unknown,3.99,2.0, Dog Supplies,,18,,,,
69668177713f3fcc8d773932,Everyday Detox Lemon Organic Wrapped Tea Bags,620d1d6410da110df3ef147b,Unknown,14.99,7.49,Centre of Store,,2,,,,
6967dbc07bf924857d9d1e48,best looking paw in the patch cookie,63cef866290ecaebc6d392ff,Unknown,4.49,2.24, Dog Supplies,,11,,,,
6967dc6a7bf924857d9d5fa9,no fly zone spiders cookies,63cef866290ecaebc6d392ff,Unknown,2.79,1.39, Dog Supplies,,11,,,,
6967dcc50bcbb0cc03e65a2e,sorta sweet sorta spooky skull cookies,63cef866290ecaebc6d392ff,Unknown,3.99,2.0, Dog Supplies,,4,,,,
6969020a43e7855242e9388c,Jasmine Rice,5fa2e792eb077d102ffcccce,Unknown,4.99,2.49,Centre of Store,,1,,,,
696aa4541691cb7a8cf1fcb5,"Chocolate Mousse, 50 Calories",5fa2e792eb077d102ffcccce,Unknown,2.0,1.0,Centre of Store,,4,,,,
696aa48aeb4478d75e89aee5,Robertson's Mincemeat Without Suet 635 ml,5fa2e792eb077d102ffcccce,Unknown,10.5,5.25,Centre of Store,,1,,,,
696aa4ba544f613a9c4b4967,Shirriff Vanilla Pie Filling & Dessert Mix,5fa2e792eb077d102ffcccce,Unknown,2.0,1.0,Centre of Store,,4,,,,
69723a670871d3225c839cc0,"Coffee Creamer, Chocolate-Covered Strawberry, Limited Edition",5ccc4fa913ed23170c14db03,Unknown,7.0,3.5,Centre of Store,,9,,,,
6973d821c889febbe756096a,Yardley London English Rose,620d1d6410da110df3ef147b,Unknown,18.99,9.49,HBA,,13,,,,
6978f5b91097b0382047f51a,L'Oreal Paris feria vegan natural soft black,620d1d6410da110df3ef147b,Unknown,17.69,8.85,HBA,,3,,,,
